0, N, N, N, SYS
0, 0, N, 0, CLS
0, 0, N, N, RET
1, N, N, N, JP
2, N, N, N, CALL
3, N, N, N, SE
4, N, N, N, SNE
5, N, N, 0, SE_A
6, N, N, N, LD
7, N, N, N, ADD
8, N, N, 0, LD_A
8, N, N, 1, OR
8, N, N, 2, AND
8, N, N, 3, XOR
8, N, N, 4, ADD_A
8, N, N, 5, SUB
8, N, N, 6, SHR
8, N, N, 7, SUBN
8, N, N, E, SHL
9, N, N, 0, SNE_A
A, N, N, N, LD_B
B, N, N, N, JP_A
C, N, N, N, RND
D, N, N, N, DRW
E, N, 9, E, SKP
E, N, A, 1, SKNP
F, N, 0, 7, LD_C
F, N, 0, A, LD_D
F, N, 1, 5, LD_E
F, N, 1, 8, LD_F
F, N, 1, E, ADD_B
F, N, 2, 9, LD_G
F, N, 3, 3, LD_H
F, N, 5, 5, LD_I
F, N, 6, 5, LD_J
